wiki_id,call_correct,oof_posterior,entropy_similarity,sim_gap,spectrum_label
aEKJ9AS/10367,1,0.08472465731610031,0.8711743354797363,0.0041549205780029,TP
aEKJ9AS/10368,1,0.028428309835964317,0.9993923902511596,0.0011991262435911,TP
aEKJ9AS/10376,1,0.9936917802648926,0.944585919380188,0.9169298578053712,TP
aEKJ9AS/1038,1,0.09840946947909415,0.8268149495124817,0.0558077096939086,TP
aEKJ9AS/10406,1,0.13001416325951476,0.7140361070632935,0.1990517973899841,TP
aEKJ9AS/10408,1,0.4250938289837215,0.8271352052688599,0.0468112230300903,TP
aEKJ9AS/10410,1,0.004163139058303353,0.9456228017807008,0.0001647472381591,TP
aEKJ9AS/10412,0,0.12198864233115836,0.8380987644195557,0.0049619674682617,TP
aEKJ9AS/10415,0,0.23582855861846863,0.7279525399208069,0.7279525399208069,FP
aEKJ9AS/10416,0,0.010683249252523582,0.8897011876106262,0.0269698500633239,TP
aEKJ9AS/10421,1,0.5938029473324977,0.6905675530433655,0.3873532414436341,TP
aEKJ9AS/10425,1,0.04357083634211525,0.9221704006195068,0.6956972032785417,TP
aEKJ9AS/10426,1,0.09964873025472808,0.7828792333602905,0.010003387928009,TP
aEKJ9AS/10429,1,0.1323968803333985,0.7033422589302063,0.1343163847923278,TP
aEKJ9AS/10430,0,0.33655633112927047,0.7482877969741821,0.170240044593811,FP
aEKJ9AS/10432,1,0.4149805817481303,0.7424922585487366,0.0242472887039184,TP
aEKJ9AS/10433,1,0.39779007687153967,0.9695476293563844,0.0760518908500672,TP
aEKJ9AS/10434,1,0.7885374356613546,0.956762194633484,0.7221142202615739,TP
aEKJ9AS/10435,0,0.00012222159565935658,0.7502129077911377,0.0032630562782287,FP
aEKJ9AS/10437,1,0.4661257164857192,0.6718242168426514,0.4075300097465515,TP
aEKJ9AS/10438,1,0.9246467361656242,0.8849523067474365,0.8849523067474365,TP
aEKJ9AS/10440,1,0.1815016272468798,0.934822678565979,0.2499061226844787,TP
aEKJ9AS/10441,1,0.615934083346021,0.9404308199882508,0.2010756134986878,TP
aEKJ9AS/10452,1,0.12745308963628244,0.5773290991783142,0.1021113395690918,TP
aEKJ9AS/10453,0,0.8193069192607093,0.8892485499382019,0.2606967687606811,FP
aEKJ9AS/10458,0,0.7789833759905398,0.7772650718688965,0.2068677544593811,FP
aEKJ9AS/10471,1,0.8082552193328238,0.7926178574562073,0.7926178574562073,TP
aEKJ9AS/10472,1,0.2436635283906212,0.991237998008728,0.2810475826263428,TP
aEKJ9AS/10473,0,0.7847048764926637,0.7221288084983826,0.2405115365982055,FP
aEKJ9AS/10474,1,0.9539453886306032,0.6826213002204895,0.1310004591941833,TP
aEKJ9AS/10475,1,0.5422194886358602,0.9648674130439758,0.1475873589515686,TP
aEKJ9AS/10482,1,0.5808976837411123,0.9526145458221436,0.134947121143341,TP
aEKJ9AS/10484,1,0.3628708105865334,0.9882156252861024,0.0267804861068727,TP
aEKJ9AS/10491,1,0.23906047486565424,0.9993952512741088,0.0154334306716917,TP
aEKJ9AS/10496,1,0.24797428656947432,0.8621737360954285,0.1764858961105346,TP
aEKJ9AS/10504,0,0.11796012575607495,0.7115316390991211,0.0013181567192077,TP
aEKJ9AS/10522,1,0.7268245380283541,0.9566231966018676,0.2190043330192564,TP
aEKJ9AS/10523,1,0.6301929873397003,0.9352234601974488,0.5643546581268312,TP
aEKJ9AS/10524,1,0.17229057401374218,0.9720430970191956,0.1799960732460022,TP
aEKJ9AS/10526,1,0.6237237049420002,0.954264223575592,0.2196450233459472,TP
aEKJ9AS/10528,1,0.5237416493037298,0.9401068687438964,0.5640929639339446,TP
aEKJ9AS/10530,0,0.0007659957816633834,0.7043128609657288,0.0226804018020629,FP
aEKJ9AS/10533,1,0.859749421959958,0.8599469661712646,0.5925878882408142,TP
aEKJ9AS/1054,0,2.4677873682357466e-05,0.6276071071624756,0.0405451655387878,FP
aEKJ9AS/10544,1,0.9755982868875237,0.8503338098526001,0.8503338098526001,TP
aEKJ9AS/10568,1,0.9263418098072698,0.9268431067466736,0.8964768648147584,TP
aEKJ9AS/10575,1,0.11552039739888545,0.8739952445030212,0.0170812606811523,TP
aEKJ9AS/10576,1,0.21773085427192268,0.9154686331748962,0.0050405263900756,TP
aEKJ9AS/10579,1,0.4438135876296718,0.9292454123497008,0.3122906684875487,TP
aEKJ9AS/10582,0,0.014138439368721781,0.6088095903396606,0.0178574323654174,TP
aEKJ9AS/10584,1,0.9612546537067637,0.9347644448280334,0.8738560006022453,TP
aEKJ9AS/10585,0,0.0022217183296656014,0.8840343356132507,0.0113921165466308,TP
aEKJ9AS/10594,1,0.23472434841923775,0.7787445187568665,0.0528560280799865,TP
aEKJ9AS/10606,1,0.24237425394171405,0.9147905707359314,0.0486406087875366,TP
