wiki_id,name,adduct,confidence,entropy_sim,sim_gap,signed_delta_rt,spectral_entropy,reason
aPUDE1U/928,azelaic acid,M-H,0.277,0.711,0.018,19.4,2.11,RT off (+19s); near-tie (gap=0.018)
aEKJ9AS/3628,2-(aminomethyl)-4-chlorophenol,[M+H]+,0.278,0.65,0.167,-18.1,2.34,RT off (-18s)
aPUDE1U/144,"4,6-dinitro-o-cresol",[M-H]-,0.28,0.785,0.357,29.2,2.97,RT off (+29s)
aEKJ9AS/6603,N-acetyl-galactosamine,[M+H-2H2O]+,0.282,0.949,0.059,24.0,3.13,RT off (+24s)
aPUDE1U/1681,"2,2-dimethylsuccinic acid",[M-H-H2O]-,0.284,0.707,0.079,19.5,1.5,RT off (+20s)
aEKJ9AS/2013,triethyl citrate,[M+H]+,0.285,0.652,0.195,17.0,2.4,RT off (+17s)
aPUDE1U/2300,Glu-Val,[M-H]-,0.285,0.504,0.08,-2.4,2.44,weak spectral match (0.50)
aEKJ9AS/6694,Gln-Lys,[M+H]+,0.286,0.931,0.231,-24.9,2.1,RT off (-25s)
aEKJ9AS/11458,minocycline,[M+H]+,0.287,0.843,0.004,22.3,3.2,RT off (+22s); near-tie (gap=0.004)
aEKJ9AS/7400,Trp-Lys,[M+H]+,0.287,0.883,0.256,-24.3,3.07,RT off (-24s)
aEKJ9AS/13240,allocholic acid,[M+H-3H2O]+,0.287,0.865,0.016,-21.3,3.31,RT off (-21s); near-tie (gap=0.016)
aPUDE1U/1686,isovalerylglycine,[M-H]-,0.288,0.614,0.005,14.3,1.9,near-tie (gap=0.005)
aPUDE1U/3452,4-methyl-2-oxopentanoic acid,[M-H]-,0.291,0.839,0.0,22.0,0.18,RT off (+22s); near-tie (gap=0.000); very few peaks (entropy=0.18)
aPUDE1U/2722,gluconolactone,[M+CHO2]-,0.291,0.811,0.491,41.4,2.21,RT off (+41s)
aPUDE1U/1848,leflunomide,[M-H]-,0.291,0.814,0.0,-19.5,0.93,RT off (-20s); near-tie (gap=0.000)
aPUDE1U/452,3-phosphoglyceric acid,[M-H]-,0.291,1.0,0.0,-21.7,0.73,RT off (-22s); near-tie (gap=0.000)
aEKJ9AS/12542,2-nitroaminoimidazoline,[M+H]+,0.292,0.81,0.061,-19.3,0.85,RT off (-19s)
aEKJ9AS/2688,N-acetylhistidine,[M+H]+,0.292,0.873,0.405,-31.9,1.95,RT off (-32s)
aEKJ9AS/9338,tranexamic acid,[M+H]+,0.292,0.901,0.154,-23.3,1.16,RT off (-23s)
aPUDE1U/3451,4-(cyclohexyloxy)-4-oxobutanoic acid,[M-H]-,0.292,0.6,0.148,14.8,1.1,combined weak evidence
aPUDE1U/2654,mannose 1-phosphate,[M-H-H2O]-,0.292,0.844,0.033,20.5,0.84,RT off (+20s)
aPUDE1U/3538,N-acetyl-glucosamine,[M+Cl]-,0.293,0.742,0.382,-25.1,2.12,RT off (-25s)
aPUDE1U/1783,methylmalonic acid,M-H,0.293,0.993,0.152,26.9,0.85,RT off (+27s)
aEKJ9AS/8542,N-(3-aminopropyl)morpholine,[M+H]+,0.293,0.792,0.178,22.0,1.03,RT off (+22s)
aPUDE1U/2602,PC 16:0_18:1,[M+CHO2]-,0.293,0.926,0.001,22.4,1.3,RT off (+22s); near-tie (gap=0.001)
aEKJ9AS/10059,PE P-18:0_20:4 b,[M+H]+,0.294,0.76,0.094,-18.3,3.22,RT off (-18s)
aPUDE1U/819,PE 18:0_20:4,[M-H]-,0.294,0.761,0.042,19.0,2.03,RT off (+19s)
aEKJ9AS/12121,2-[2-(dimethylamino)ethoxy]ethanol,[M+H]+,0.294,0.768,0.079,-18.4,0.25,RT off (-18s); very few peaks (entropy=0.25)
aPUDE1U/1262,N-benzoyl-alanine,M-H,0.294,0.735,0.058,18.6,0.93,RT off (+19s)
aEKJ9AS/8455,"1,24-dihydroxyvitamin D3",[M+H-H2O]+,0.296,0.799,0.02,-19.6,4.08,RT off (-20s); near-tie (gap=0.020)
aPUDE1U/1906,hydroxycitric acid lactone,[M-H]-,0.296,0.899,0.054,-21.9,1.59,RT off (-22s)
aEKJ9AS/547,N-hydroxymethyl-3-methylpyrazole,[M+H]+,0.296,0.794,0.029,19.0,0.89,RT off (+19s); near-tie (gap=0.029)
aEKJ9AS/4898,5-(methylamino)pentanoic acid,[M+H]+,0.296,0.935,0.405,-35.1,2.02,RT off (-35s)
aEKJ9AS/9463,ureidopropionate,[M+H]+,0.297,0.847,0.267,26.1,1.97,RT off (+26s)
aEKJ9AS/3483,"2-fluorophenyl-3-(indol-3-ylmethyl)-1-methyl-1,4-benzodiazepin-2-one",[M+H-C14H13FN2]+,0.297,0.921,0.008,-21.6,0.89,RT off (-22s); near-tie (gap=0.008)
aEKJ9AS/12734,DG 18:2_18:1,[M+H-H2O]+,0.298,0.955,0.006,23.2,3.02,RT off (+23s); near-tie (gap=0.006)
aEKJ9AS/8030,2-hydroxyquinoline,[M+H]+,0.298,0.926,0.0,23.8,1.42,RT off (+24s); near-tie (gap=0.000)
aPUDE1U/2102,"2',3'-cCMP",[M-H]-,0.299,0.943,0.149,-23.3,0.54,RT off (-23s)
aEKJ9AS/8456,7-cheto-deoxycholic acid,[M+H-3H2O]+,0.299,0.741,0.048,-18.4,4.48,RT off (-18s)
aPUDE1U/831,orotic acid,[2M-2H+Na]-,0.299,0.698,0.585,-36.6,0.66,RT off (-37s)
aPUDE1U/1155,PC 18:0_20:4,[M+FA-H]-,0.299,0.53,0.192,-7.7,1.9,weak spectral match (0.53)
